dimension: 6
max non-zeros: 16
min non-zeros: 1
avg non-zeros: 2
we have 153 chains
136 are fixed
17 are free
45 have radius zero
   40 of these are fixed
   5 of these are free
108 have radius non-zero
   96 of these are fixed
   12 of these are free

sqr=5.927e+05  alp=0.1  con= 0 / 0  153 17 102     
sqr=5.828e+05  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.378e+05  alp=0.064  con= 0 / 0  153 17 102     
sqr=4.788e+05  alp=0.0512  con= 0 / 0  153 17 102     
sqr=4.204e+05  alp=0.04096  con= 0 / 0  153 17 102     
sqr=3.695e+05  alp=0.03277  con= 0 / 0  153 17 102     
sqr=3.275e+05  alp=0.02621  con= 0 / 0  153 17 102     
sqr=2.939e+05  alp=0.02097  con= 0 / 0  153 17 102     
sqr=2.677e+05  alp=0.01678  con= 0 / 0  153 17 102     
sqr=2.473e+05  alp=0.01342  con= 0 / 0  153 17 102     
sqr=2.328e+05  alp=0.01074  con= 0 / 0  153 17 102     
sqr=2.208e+05  alp=0.00859  con= 0 / 0  153 17 102     
sqr=2.108e+05  alp=0.006872  con= 0 / 0  153 17 102     
sqr=2.031e+05  alp=0.005498  con= 0 / 0  153 17 102     
sqr=1.966e+05  alp=0.004398  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.187e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.75e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.4e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.12e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=8.959e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=7.167e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.734e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.587e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.67e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.936e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.349e-13  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.385e-15  con= 0 / 0  153 17 102     
sqr=5.878e+04  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.858e+04  alp=0.02097  con= 0 / 0  153 17 102     
sqr=5.855e+04  alp=0.01342  con= 0 / 0  153 17 102     
sqr=5.853e+04  alp=0.00859  con= 0 / 0  153 17 102     
sqr=5.852e+04  alp=0.006872  con= 0 / 0  153 17 102     
sqr=5.851e+04  alp=0.005498  con= 0 / 0  153 17 102     
sqr=5.851e+04  alp=0.004398  con= 0 / 0  153 17 102     
sqr=5.85e+04  alp=0.003518  con= 0 / 0  153 17 102     
sqr=5.849e+04  alp=0.002815  con= 0 / 0  153 17 102     
sqr=5.847e+04  alp=0.002252  con= 0 / 0  153 17 102     
sqr=5.846e+04  alp=0.001801  con= 0 / 0  153 17 102     
sqr=5.845e+04  alp=0.001441  con= 0 / 0  153 17 102     
sqr=5.844e+04  alp=0.001153  con= 0 / 0  153 17 102     
sqr=5.844e+04  alp=0.0009223  con= 0 / 0  153 17 102     
sqr=5.843e+04  alp=0.0007379  con= 0 / 0  153 17 102     
sqr=5.843e+04  alp=0.0005903  con= 0 / 0  153 17 102     
sqr=5.842e+04  alp=0.0004722  con= 0 / 0  153 17 102     
sqr=5.842e+04  alp=0.0003778  con= 0 / 0  153 17 102     
sqr=5.842e+04  alp=0.0003022  con= 0 / 0  153 17 102     
sqr=5.842e+04  alp=0.0002418  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=0.0001934  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=0.0001547  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=0.0001238  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=9.904e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.923e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.338e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.071e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.056e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.245e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.596e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.077e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.662e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.329e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.063e-05  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=8.507e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.806e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.445e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.356e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.484e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.788e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.23e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.784e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.427e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.142e-06  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=9.134e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.308e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.846e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.677e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.741e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.993e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.395e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.916e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.532e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.226e-07  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=9.808e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.846e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.277e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.022e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.017e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.214e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.571e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.057e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.646e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.316e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.053e-08  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=8.425e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.74e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.392e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.314e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.451e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.761e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.209e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.767e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.413e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.131e-09  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=9.046e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.237e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.79e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.632e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.705e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.964e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.371e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.897e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.518e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.214e-10  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=9.713e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.771e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.217e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.973e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.979e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.183e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.546e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.037e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.63e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.304e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.043e-11  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=8.344e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=6.675e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=5.34e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=4.272e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=3.418e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.734e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.187e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.75e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.4e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=1.12e-12  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=8.959e-13  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=7.167e-13  con= 0 / 0  153 17 102     
sqr=5.841e+04  alp=2.166e-15  con= 0 / 0  153 17 102     
s=5.841e+04 a=8.873e-16 c= 0 / 1 153 17 102 5.841e+04 4.766
sqr=3.404e+05  alp=0.1  con= 0 / 1  153 17 102     
sqr=1.92e+05  alp=0.08  con= 0 / 1  153 17 102     
sqr=1.452e+05  alp=0.064  con= 0 / 1  153 17 102     
sqr=1.196e+05  alp=0.0512  con= 0 / 1  153 17 102     
sqr=1.046e+05  alp=0.04096  con= 0 / 1  153 17 102     
sqr=9.351e+04  alp=0.03277  con= 0 / 1  153 17 102     
sqr=8.422e+04  alp=0.02621  con= 0 / 1  153 17 102     
sqr=7.712e+04  alp=0.02097  con= 0 / 1  153 17 102     
sqr=7.196e+04  alp=0.01678  con= 0 / 1  153 17 102     
sqr=6.997e+04  alp=0.01342  con= 0 / 1  153 17 102     
sqr=6.962e+04  alp=0.01074  con= 0 / 1  153 17 102     
sqr=6.933e+04  alp=0.00859  con= 0 / 1  153 17 102     
sqr=6.886e+04  alp=0.006872  con= 0 / 1  153 17 102     
sqr=6.82e+04  alp=0.005498  con= 0 / 1  153 17 102     
sqr=6.772e+04  alp=0.004398  con= 0 / 1  153 17 102     
sqr=6.74e+04  alp=0.003518  con= 0 / 1  153 17 102     
sqr=6.713e+04  alp=0.002815  con= 0 / 1  153 17 102     
sqr=6.684e+04  alp=0.002252  con= 0 / 1  153 17 102     
sqr=6.658e+04  alp=0.001801  con= 0 / 1  153 17 102     
sqr=6.634e+04  alp=0.001441  con= 0 / 1  153 17 102     
sqr=6.615e+04  alp=0.001153  con= 0 / 1  153 17 102     
sqr=6.599e+04  alp=0.0009223  con= 0 / 1  153 17 102     
sqr=6.585e+04  alp=0.0007379  con= 0 / 1  153 17 102     
sqr=6.574e+04  alp=0.0005903  con= 0 / 1  153 17 102     
sqr=6.566e+04  alp=0.0004722  con= 0 / 1  153 17 102     
sqr=6.558e+04  alp=0.0003778  con= 0 / 1  153 17 102     
sqr=6.552e+04  alp=0.0003022  con= 0 / 1  153 17 102     
sqr=6.548e+04  alp=0.0002418  con= 0 / 1  153 17 102     
sqr=6.544e+04  alp=0.0001934  con= 0 / 1  153 17 102     
sqr=6.541e+04  alp=0.0001547  con= 0 / 1  153 17 102     
sqr=6.539e+04  alp=0.0001238  con= 0 / 1  153 17 102     
sqr=6.537e+04  alp=9.904e-05  con= 0 / 1  153 17 102     
sqr=6.536e+04  alp=7.923e-05  con= 0 / 1  153 17 102     
sqr=6.535e+04  alp=6.338e-05  con= 0 / 1  153 17 102     
sqr=6.534e+04  alp=5.071e-05  con= 0 / 1  153 17 102     
sqr=6.533e+04  alp=4.056e-05  con= 0 / 1  153 17 102     
sqr=6.533e+04  alp=3.245e-05  con= 0 / 1  153 17 102     
sqr=6.532e+04  alp=2.596e-05  con= 0 / 1  153 17 102     
sqr=6.532e+04  alp=2.077e-05  con= 0 / 1  153 17 102     
sqr=6.532e+04  alp=1.662e-05  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.329e-05  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.063e-05  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=8.507e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=6.806e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.445e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.356e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.484e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.788e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.23e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.784e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.427e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.142e-06  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=9.134e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.308e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.846e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.677e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.741e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.993e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.395e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.916e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.532e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.226e-07  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=9.808e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.846e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=6.277e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.022e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.017e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.214e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.571e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.057e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.646e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.316e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.053e-08  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=8.425e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=6.74e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.392e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.314e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.451e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.761e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.209e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.767e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.413e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.131e-09  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=9.046e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.237e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.79e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.632e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.705e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.964e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.371e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.897e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.518e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.214e-10  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=9.713e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.771e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=6.217e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.973e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.979e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.183e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.546e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.037e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.63e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.304e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.043e-11  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=8.344e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=6.675e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.34e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.272e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.418e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.734e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.187e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.75e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.4e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.12e-12  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=8.959e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.167e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=5.734e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=4.587e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=3.67e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.936e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=2.349e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.879e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.503e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=1.202e-13  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=9.62e-14  con= 0 / 1  153 17 102     
sqr=6.531e+04  alp=7.696e-14  con= 0 / 1  153 17 102     
sqr=6.218e+04  alp=0.08  con= 0 / 1  153 17 102     
sqr=5.656e+04  alp=0.064  con= 0 / 1  153 17 102     
sqr=4.8e+04  alp=0.0512  con= 0 / 1  153 17 102     
sqr=4.52e+04  alp=0.01678  con= 0 / 1  153 17 102     
sqr=4.516e+04  alp=0.01074  con= 0 / 1  153 17 102     
sqr=4.514e+04  alp=0.006872  con= 0 / 1  153 17 102     
sqr=4.512e+04  alp=0.005498  con= 0 / 1  153 17 102     
sqr=4.512e+04  alp=0.004398  con= 0 / 1  153 17 102     
sqr=4.511e+04  alp=0.003518  con= 0 / 1  153 17 102     
sqr=4.51e+04  alp=0.002815  con= 0 / 1  153 17 102     
sqr=4.51e+04  alp=0.002252  con= 0 / 1  153 17 102     
sqr=4.51e+04  alp=0.001801  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.001441  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.001153  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0009223  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0007379  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0005903  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0004722  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0003778  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0003022  con= 0 / 1  153 17 102     
sqr=4.509e+04  alp=0.0002418  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001934  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001547  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001238  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.904e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.923e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.338e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.071e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.056e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.245e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.596e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.077e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.662e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.329e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.063e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=8.507e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.806e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.445e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.356e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.484e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.788e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.23e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.784e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.427e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.142e-06  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.134e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.308e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.846e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.677e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.741e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.993e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.395e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.916e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.532e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.226e-07  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.808e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.846e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.277e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.022e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.017e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.214e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.571e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.057e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.646e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.316e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.053e-08  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=8.425e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.74e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.392e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.314e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.451e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.761e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.209e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.767e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.413e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.131e-09  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.046e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.237e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.79e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.632e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.705e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.964e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.371e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.897e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.518e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.214e-10  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.713e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.771e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.217e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.973e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.979e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.183e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.546e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.037e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.63e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.304e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.043e-11  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.614e-14  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0009223  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0003778  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0003022  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0002418  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001934  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001547  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=0.0001238  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=9.904e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=7.923e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=6.338e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=5.071e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=4.056e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=3.245e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.596e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=2.077e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.662e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.329e-05  con= 0 / 1  153 17 102     
sqr=4.508e+04  alp=1.063e-05  con= 0 / 1  153 17 102     
