dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=2.356e+04  alp=1.784e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.427e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.142e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=9.134e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=7.308e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=5.846e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=4.677e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=3.741e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.993e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.395e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.916e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.532e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.226e-07  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=9.808e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=7.846e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=6.277e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=5.022e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=4.017e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=3.214e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.571e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.057e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.646e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.316e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.053e-08  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=8.425e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=6.74e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=5.392e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=4.314e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=3.451e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.761e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.209e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.767e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.413e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=1.131e-09  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=9.046e-10  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=7.237e-10  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=5.79e-10  con= 0 / 0  190 19 190     
