dimension: 6
max non-zeros: 6
min non-zeros: 1
avg non-zeros: 2
we have 28 chains
21 are fixed
7 are free
7 have radius zero
   6 of these are fixed
   1 of these are free
21 have radius non-zero
   15 of these are fixed
   6 of these are free

sqr=1.623e+05  alp=0.1  con= 0 / 0  28 7 42     
sqr=1.575e+05  alp=0.08  con= 0 / 0  28 7 42     
sqr=1.358e+05  alp=0.064  con= 0 / 0  28 7 42     
sqr=1.07e+05  alp=0.0512  con= 0 / 0  28 7 42     
sqr=7.571e+04  alp=0.04096  con= 0 / 0  28 7 42     
sqr=4.754e+04  alp=0.03277  con= 0 / 0  28 7 42     
sqr=2.879e+04  alp=0.02621  con= 0 / 0  28 7 42     
sqr=1.814e+04  alp=0.02097  con= 0 / 0  28 7 42     
sqr=1.19e+04  alp=0.01678  con= 0 / 0  28 7 42     
sqr=8421  alp=0.01342  con= 0 / 0  28 7 42     
sqr=6226  alp=0.01074  con= 0 / 0  28 7 42     
sqr=4718  alp=0.00859  con= 0 / 0  28 7 42     
sqr=3650  alp=0.006872  con= 0 / 0  28 7 42     
sqr=2915  alp=0.005498  con= 0 / 0  28 7 42     
sqr=2392  alp=0.004398  con= 0 / 0  28 7 42     
sqr=29.93  alp=2.371e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.897e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.518e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.214e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=9.713e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=7.771e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=6.217e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=4.973e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=3.979e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=3.183e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.546e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.037e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.63e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.304e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.043e-11  con= 0 / 1  28 7 42     
sqr=29.93  alp=8.344e-12  con= 0 / 1  28 7 42     
sqr=29.93  alp=6.675e-12  con= 0 / 1  28 7 42     
sqr=29.93  alp=5.34e-12  con= 0 / 1  28 7 42     
sqr=20.86  alp=0.001801  con= 0 / 1  28 7 42     
sqr=18.09  alp=0.001441  con= 0 / 1  28 7 42     
sqr=16.56  alp=0.0009223  con= 0 / 1  28 7 42     
sqr=15.29  alp=0.0007379  con= 0 / 1  28 7 42     
sqr=13.76  alp=0.0005903  con= 0 / 1  28 7 42     
sqr=11.21  alp=0.0004722  con= 0 / 1  28 7 42     
sqr=8.551  alp=0.0003778  con= 0 / 1  28 7 42     
sqr=6.595  alp=0.0003022  con= 0 / 1  28 7 42     
sqr=5.41  alp=0.0002418  con= 0 / 1  28 7 42     
sqr=4.683  alp=0.0001934  con= 0 / 1  28 7 42     
sqr=4.172  alp=0.0001547  con= 0 / 1  28 7 42     
sqr=3.788  alp=0.0001238  con= 0 / 1  28 7 42     
sqr=3.495  alp=9.904e-05  con= 0 / 1  28 7 42     
sqr=3.267  alp=7.923e-05  con= 0 / 1  28 7 42     
sqr=3.09  alp=6.338e-05  con= 0 / 1  28 7 42     
sqr=2.951  alp=5.071e-05  con= 0 / 1  28 7 42     
sqr=2.842  alp=4.056e-05  con= 0 / 1  28 7 42     
sqr=2.757  alp=3.245e-05  con= 0 / 1  28 7 42     
sqr=2.69  alp=2.596e-05  con= 0 / 1  28 7 42     
sqr=2.637  alp=2.077e-05  con= 0 / 1  28 7 42     
sqr=2.594  alp=1.662e-05  con= 0 / 1  28 7 42     
sqr=2.56  alp=1.329e-05  con= 0 / 1  28 7 42     
sqr=2.533  alp=1.063e-05  con= 0 / 1  28 7 42     
sqr=2.512  alp=8.507e-06  con= 0 / 1  28 7 42     
sqr=2.495  alp=6.806e-06  con= 0 / 1  28 7 42     
sqr=2.481  alp=5.445e-06  con= 0 / 1  28 7 42     
sqr=2.47  alp=4.356e-06  con= 0 / 1  28 7 42     
sqr=2.461  alp=3.484e-06  con= 0 / 1  28 7 42     
sqr=2.454  alp=2.788e-06  con= 0 / 1  28 7 42     
sqr=2.448  alp=2.23e-06  con= 0 / 1  28 7 42     
sqr=2.444  alp=1.784e-06  con= 0 / 1  28 7 42     
sqr=2.44  alp=1.427e-06  con= 0 / 1  28 7 42     
sqr=2.437  alp=1.142e-06  con= 0 / 1  28 7 42     
sqr=2.435  alp=9.134e-07  con= 0 / 1  28 7 42     
sqr=2.433  alp=7.308e-07  con= 0 / 1  28 7 42     
sqr=2.431  alp=5.846e-07  con= 0 / 1  28 7 42     
sqr=2.43  alp=4.677e-07  con= 0 / 1  28 7 42     
sqr=2.429  alp=3.741e-07  con= 0 / 1  28 7 42     
sqr=2.428  alp=2.993e-07  con= 0 / 1  28 7 42     
sqr=2.427  alp=2.395e-07  con= 0 / 1  28 7 42     
sqr=2.427  alp=1.916e-07  con= 0 / 1  28 7 42     
sqr=2.427  alp=1.532e-07  con= 0 / 1  28 7 42     
sqr=2.426  alp=1.226e-07  con= 0 / 1  28 7 42     
sqr=2.426  alp=9.808e-08  con= 0 / 1  28 7 42     
sqr=2.426  alp=7.846e-08  con= 0 / 1  28 7 42     
sqr=2.426  alp=6.277e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=5.022e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=4.017e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=3.214e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.571e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.057e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.646e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.316e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.053e-08  con= 0 / 1  28 7 42     
sqr=2.425  alp=8.425e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=6.74e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=5.392e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=4.314e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=3.451e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.761e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.209e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.767e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.413e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.131e-09  con= 0 / 1  28 7 42     
sqr=2.425  alp=9.046e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=7.237e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=5.79e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=4.632e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=3.705e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.964e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.371e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.897e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.518e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=1.214e-10  con= 0 / 1  28 7 42     
sqr=2.425  alp=9.713e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=7.771e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=6.217e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=4.973e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=3.979e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=3.183e-11  con= 0 / 1  28 7 42     
sqr=2.425  alp=2.546e-11  con= 0 / 1  28 7 42     
sqr=1.469  alp=0.0003778  con= 0 / 1  28 7 42     
sqr=1.174  alp=0.0003022  con= 0 / 1  28 7 42     
sqr=0.9477  alp=0.0002418  con= 0 / 1  28 7 42     
sqr=0.7727  alp=0.0001934  con= 0 / 1  28 7 42     
sqr=0.6362  alp=0.0001547  con= 0 / 1  28 7 42     
sqr=0.5287  alp=0.0001238  con= 0 / 1  28 7 42     
sqr=0.4431  alp=9.904e-05  con= 0 / 1  28 7 42     
sqr=0.3743  alp=7.923e-05  con= 0 / 1  28 7 42     
sqr=0.3185  alp=6.338e-05  con= 0 / 1  28 7 42     
sqr=0.2731  alp=5.071e-05  con= 0 / 1  28 7 42     
sqr=0.2373  alp=4.056e-05  con= 0 / 1  28 7 42     
sqr=0.2108  alp=3.245e-05  con= 0 / 1  28 7 42     
sqr=0.191  alp=2.596e-05  con= 0 / 1  28 7 42     
sqr=0.176  alp=2.077e-05  con= 0 / 1  28 7 42     
sqr=0.1645  alp=1.662e-05  con= 0 / 1  28 7 42     
sqr=0.1557  alp=1.329e-05  con= 0 / 1  28 7 42     
sqr=0.1488  alp=1.063e-05  con= 0 / 1  28 7 42     
sqr=0.1434  alp=8.507e-06  con= 0 / 1  28 7 42     
sqr=0.1392  alp=6.806e-06  con= 0 / 1  28 7 42     
sqr=0.1359  alp=5.445e-06  con= 0 / 1  28 7 42     
sqr=0.1333  alp=4.356e-06  con= 0 / 1  28 7 42     
sqr=0.1312  alp=3.484e-06  con= 0 / 1  28 7 42     
sqr=0.1296  alp=2.788e-06  con= 0 / 1  28 7 42     
sqr=0.1283  alp=2.23e-06  con= 0 / 1  28 7 42     
sqr=0.1272  alp=1.784e-06  con= 0 / 1  28 7 42     
sqr=0.1264  alp=1.427e-06  con= 0 / 1  28 7 42     
sqr=0.1257  alp=1.142e-06  con= 0 / 1  28 7 42     
sqr=0.1251  alp=9.134e-07  con= 0 / 1  28 7 42     
sqr=0.1247  alp=7.308e-07  con= 0 / 1  28 7 42     
sqr=0.1243  alp=5.846e-07  con= 0 / 1  28 7 42     
sqr=0.1241  alp=4.677e-07  con= 0 / 1  28 7 42     
sqr=0.1238  alp=3.741e-07  con= 0 / 1  28 7 42     
sqr=0.1237  alp=2.993e-07  con= 0 / 1  28 7 42     
sqr=0.1235  alp=2.395e-07  con= 0 / 1  28 7 42     
sqr=0.1234  alp=1.916e-07  con= 0 / 1  28 7 42     
sqr=0.1233  alp=1.532e-07  con= 0 / 1  28 7 42     
sqr=0.1232  alp=1.226e-07  con= 0 / 1  28 7 42     
sqr=0.1232  alp=9.808e-08  con= 0 / 1  28 7 42     
sqr=0.1231  alp=7.846e-08  con= 0 / 1  28 7 42     
sqr=0.1231  alp=6.277e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=5.022e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=4.017e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=3.214e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=2.571e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=2.057e-08  con= 0 / 1  28 7 42     
sqr=0.123  alp=1.646e-08  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.316e-08  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.053e-08  con= 0 / 1  28 7 42     
sqr=0.1229  alp=8.425e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=6.74e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=5.392e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=4.314e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=3.451e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=2.761e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=2.209e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.767e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.413e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.131e-09  con= 0 / 1  28 7 42     
sqr=0.1229  alp=9.046e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=7.237e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=5.79e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=4.632e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=3.705e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=2.964e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=2.371e-10  con= 0 / 1  28 7 42     
sqr=0.1229  alp=1.897e-10  con= 0 / 1  28 7 42     
sqr=0.0609  alp=5.071e-05  con= 0 / 1  28 7 42     
sqr=0.05381  alp=4.056e-05  con= 0 / 1  28 7 42     
sqr=0.0477  alp=3.245e-05  con= 0 / 1  28 7 42     
sqr=0.04243  alp=2.596e-05  con= 0 / 1  28 7 42     
sqr=0.03784  alp=2.077e-05  con= 0 / 1  28 7 42     
sqr=0.03385  alp=1.662e-05  con= 0 / 1  28 7 42     
sqr=0.03035  alp=1.329e-05  con= 0 / 1  28 7 42     
sqr=0.02728  alp=1.063e-05  con= 0 / 1  28 7 42     
sqr=0.02494  alp=8.507e-06  con= 0 / 1  28 7 42     
sqr=0.02315  alp=6.806e-06  con= 0 / 1  28 7 42     
sqr=0.02178  alp=5.445e-06  con= 0 / 1  28 7 42     
sqr=0.02071  alp=4.356e-06  con= 0 / 1  28 7 42     
sqr=0.01987  alp=3.484e-06  con= 0 / 1  28 7 42     
sqr=0.01922  alp=2.788e-06  con= 0 / 1  28 7 42     
sqr=0.0187  alp=2.23e-06  con= 0 / 1  28 7 42     
sqr=0.01829  alp=1.784e-06  con= 0 / 1  28 7 42     
sqr=0.01797  alp=1.427e-06  con= 0 / 1  28 7 42     
sqr=0.01771  alp=1.142e-06  con= 0 / 1  28 7 42     
sqr=0.0175  alp=9.134e-07  con= 0 / 1  28 7 42     
sqr=0.01734  alp=7.308e-07  con= 0 / 1  28 7 42     
sqr=0.01721  alp=5.846e-07  con= 0 / 1  28 7 42     
sqr=0.0171  alp=4.677e-07  con= 0 / 1  28 7 42     
sqr=0.01702  alp=3.741e-07  con= 0 / 1  28 7 42     
sqr=0.01695  alp=2.993e-07  con= 0 / 1  28 7 42     
sqr=0.0169  alp=2.395e-07  con= 0 / 1  28 7 42     
sqr=0.01685  alp=1.916e-07  con= 0 / 1  28 7 42     
sqr=0.01682  alp=1.532e-07  con= 0 / 1  28 7 42     
sqr=0.01679  alp=1.226e-07  con= 0 / 1  28 7 42     
sqr=0.01677  alp=9.808e-08  con= 0 / 1  28 7 42     
sqr=0.01675  alp=7.846e-08  con= 0 / 1  28 7 42     
sqr=0.01673  alp=6.277e-08  con= 0 / 1  28 7 42     
sqr=0.01672  alp=5.022e-08  con= 0 / 1  28 7 42     
sqr=0.01671  alp=4.017e-08  con= 0 / 1  28 7 42     
sqr=0.01671  alp=3.214e-08  con= 0 / 1  28 7 42     
sqr=0.0167  alp=2.571e-08  con= 0 / 1  28 7 42     
sqr=0.0167  alp=2.057e-08  con= 0 / 1  28 7 42     
sqr=0.01669  alp=1.646e-08  con= 0 / 1  28 7 42     
sqr=0.01669  alp=1.316e-08  con= 0 / 1  28 7 42     
sqr=0.01669  alp=1.053e-08  con= 0 / 1  28 7 42     
sqr=0.01668  alp=8.425e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=6.74e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=5.392e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=4.314e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=3.451e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=2.761e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=2.209e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=1.767e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=1.413e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=1.131e-09  con= 0 / 1  28 7 42     
sqr=0.01668  alp=9.046e-10  con= 0 / 1  28 7 42     
sqr=0.01668  alp=7.237e-10  con= 0 / 1  28 7 42     
sqr=0.01668  alp=5.79e-10  con= 0 / 1  28 7 42     
s=0.01668 a=8.873e-16 c= 0 / 2 28 7 42 15.71 -0.1405
sqr=13.62  alp=0.002252  con= 0 / 2  28 7 42     
sqr=12.77  alp=0.0007379  con= 0 / 2  28 7 42     
sqr=12.57  alp=0.0001934  con= 0 / 2  28 7 42     
sqr=12.4  alp=0.0001547  con= 0 / 2  28 7 42     
sqr=12.25  alp=0.0001238  con= 0 / 2  28 7 42     
sqr=12.13  alp=9.904e-05  con= 0 / 2  28 7 42     
sqr=12.02  alp=7.923e-05  con= 0 / 2  28 7 42     
sqr=11.93  alp=6.338e-05  con= 0 / 2  28 7 42     
sqr=11.84  alp=5.071e-05  con= 0 / 2  28 7 42     
sqr=11.77  alp=4.056e-05  con= 0 / 2  28 7 42     
sqr=11.72  alp=3.245e-05  con= 0 / 2  28 7 42     
sqr=11.68  alp=2.596e-05  con= 0 / 2  28 7 42     
sqr=11.64  alp=2.077e-05  con= 0 / 2  28 7 42     
sqr=11.62  alp=1.662e-05  con= 0 / 2  28 7 42     
sqr=11.59  alp=1.329e-05  con= 0 / 2  28 7 42     
sqr=11.58  alp=1.063e-05  con= 0 / 2  28 7 42     
sqr=11.56  alp=8.507e-06  con= 0 / 2  28 7 42     
sqr=11.55  alp=6.806e-06  con= 0 / 2  28 7 42     
sqr=11.54  alp=5.445e-06  con= 0 / 2  28 7 42     
sqr=11.53  alp=4.356e-06  con= 0 / 2  28 7 42     
sqr=11.53  alp=3.484e-06  con= 0 / 2  28 7 42     
sqr=11.52  alp=2.788e-06  con= 0 / 2  28 7 42     
sqr=11.52  alp=2.23e-06  con= 0 / 2  28 7 42     
sqr=11.51  alp=1.784e-06  con= 0 / 2  28 7 42     
sqr=11.51  alp=1.427e-06  con= 0 / 2  28 7 42     
sqr=11.51  alp=1.142e-06  con= 0 / 2  28 7 42     
sqr=11.51  alp=9.134e-07  con= 0 / 2  28 7 42     
sqr=11.51  alp=7.308e-07  con= 0 / 2  28 7 42     
sqr=11.51  alp=5.846e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=4.677e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=3.741e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.993e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.395e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.916e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.532e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.226e-07  con= 0 / 2  28 7 42     
sqr=11.5  alp=9.808e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=7.846e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=6.277e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=5.022e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=4.017e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=3.214e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.571e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.057e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.646e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.316e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.053e-08  con= 0 / 2  28 7 42     
sqr=11.5  alp=8.425e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=6.74e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=5.392e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=4.314e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=3.451e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.761e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.209e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.767e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.413e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.131e-09  con= 0 / 2  28 7 42     
sqr=11.5  alp=9.046e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=7.237e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=5.79e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=4.632e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=3.705e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.964e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=2.371e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.897e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.518e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=1.214e-10  con= 0 / 2  28 7 42     
sqr=11.5  alp=9.713e-11  con= 0 / 2  28 7 42     
sqr=11.5  alp=7.771e-11  con= 0 / 2  28 7 42     
sqr=11.21  alp=0.0001547  con= 0 / 2  28 7 42     
sqr=11.04  alp=0.0001238  con= 0 / 2  28 7 42     
sqr=10.81  alp=9.904e-05  con= 0 / 2  28 7 42     
sqr=10.57  alp=7.923e-05  con= 0 / 2  28 7 42     
sqr=10.35  alp=6.338e-05  con= 0 / 2  28 7 42     
sqr=10.16  alp=5.071e-05  con= 0 / 2  28 7 42     
sqr=9.985  alp=4.056e-05  con= 0 / 2  28 7 42     
sqr=9.837  alp=3.245e-05  con= 0 / 2  28 7 42     
sqr=9.712  alp=2.596e-05  con= 0 / 2  28 7 42     
sqr=9.607  alp=2.077e-05  con= 0 / 2  28 7 42     
sqr=9.52  alp=1.662e-05  con= 0 / 2  28 7 42     
sqr=9.448  alp=1.329e-05  con= 0 / 2  28 7 42     
sqr=9.389  alp=1.063e-05  con= 0 / 2  28 7 42     
sqr=9.341  alp=8.507e-06  con= 0 / 2  28 7 42     
sqr=9.302  alp=6.806e-06  con= 0 / 2  28 7 42     
sqr=9.271  alp=5.445e-06  con= 0 / 2  28 7 42     
sqr=9.245  alp=4.356e-06  con= 0 / 2  28 7 42     
sqr=9.225  alp=3.484e-06  con= 0 / 2  28 7 42     
sqr=9.208  alp=2.788e-06  con= 0 / 2  28 7 42     
sqr=9.195  alp=2.23e-06  con= 0 / 2  28 7 42     
sqr=9.184  alp=1.784e-06  con= 0 / 2  28 7 42     
sqr=9.176  alp=1.427e-06  con= 0 / 2  28 7 42     
sqr=9.169  alp=1.142e-06  con= 0 / 2  28 7 42     
sqr=9.164  alp=9.134e-07  con= 0 / 2  28 7 42     
sqr=9.159  alp=7.308e-07  con= 0 / 2  28 7 42     
sqr=9.156  alp=5.846e-07  con= 0 / 2  28 7 42     
sqr=9.153  alp=4.677e-07  con= 0 / 2  28 7 42     
sqr=9.151  alp=3.741e-07  con= 0 / 2  28 7 42     
sqr=9.149  alp=2.993e-07  con= 0 / 2  28 7 42     
sqr=9.147  alp=2.395e-07  con= 0 / 2  28 7 42     
sqr=9.146  alp=1.916e-07  con= 0 / 2  28 7 42     
sqr=9.145  alp=1.532e-07  con= 0 / 2  28 7 42     
sqr=9.145  alp=1.226e-07  con= 0 / 2  28 7 42     
sqr=9.144  alp=9.808e-08  con= 0 / 2  28 7 42     
sqr=9.144  alp=7.846e-08  con= 0 / 2  28 7 42     
sqr=9.143  alp=6.277e-08  con= 0 / 2  28 7 42     
sqr=9.143  alp=5.022e-08  con= 0 / 2  28 7 42     
sqr=9.143  alp=4.017e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=3.214e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.571e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.057e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.646e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.316e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.053e-08  con= 0 / 2  28 7 42     
sqr=9.142  alp=8.425e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=6.74e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=5.392e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=4.314e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=3.451e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.761e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.209e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.767e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.413e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.131e-09  con= 0 / 2  28 7 42     
sqr=9.142  alp=9.046e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=7.237e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=5.79e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=4.632e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=3.705e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.964e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.371e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.897e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.518e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=1.214e-10  con= 0 / 2  28 7 42     
sqr=9.142  alp=9.713e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=7.771e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=6.217e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=4.973e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=3.979e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=3.183e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.546e-11  con= 0 / 2  28 7 42     
sqr=9.142  alp=2.037e-11  con= 0 / 2  28 7 42     
sqr=5.977  alp=0.0005903  con= 0 / 2  28 7 42     
sqr=3.932  alp=0.0004722  con= 0 / 2  28 7 42     
sqr=3.262  alp=0.0003778  con= 0 / 2  28 7 42     
sqr=2.974  alp=0.0003022  con= 0 / 2  28 7 42     
sqr=2.746  alp=0.0002418  con= 0 / 2  28 7 42     
sqr=2.547  alp=0.0001934  con= 0 / 2  28 7 42     
sqr=2.376  alp=0.0001547  con= 0 / 2  28 7 42     
sqr=2.233  alp=0.0001238  con= 0 / 2  28 7 42     
sqr=2.112  alp=9.904e-05  con= 0 / 2  28 7 42     
sqr=2.012  alp=7.923e-05  con= 0 / 2  28 7 42     
sqr=1.928  alp=6.338e-05  con= 0 / 2  28 7 42     
sqr=1.857  alp=5.071e-05  con= 0 / 2  28 7 42     
sqr=1.804  alp=4.056e-05  con= 0 / 2  28 7 42     
sqr=1.764  alp=3.245e-05  con= 0 / 2  28 7 42     
sqr=1.735  alp=2.596e-05  con= 0 / 2  28 7 42     
sqr=1.712  alp=2.077e-05  con= 0 / 2  28 7 42     
sqr=1.694  alp=1.662e-05  con= 0 / 2  28 7 42     
sqr=1.681  alp=1.329e-05  con= 0 / 2  28 7 42     
sqr=1.67  alp=1.063e-05  con= 0 / 2  28 7 42     
sqr=1.662  alp=8.507e-06  con= 0 / 2  28 7 42     
sqr=1.655  alp=6.806e-06  con= 0 / 2  28 7 42     
sqr=1.65  alp=5.445e-06  con= 0 / 2  28 7 42     
sqr=1.646  alp=4.356e-06  con= 0 / 2  28 7 42     
sqr=1.643  alp=3.484e-06  con= 0 / 2  28 7 42     
sqr=1.64  alp=2.788e-06  con= 0 / 2  28 7 42     
sqr=1.638  alp=2.23e-06  con= 0 / 2  28 7 42     
sqr=1.636  alp=1.784e-06  con= 0 / 2  28 7 42     
sqr=1.635  alp=1.427e-06  con= 0 / 2  28 7 42     
sqr=1.634  alp=1.142e-06  con= 0 / 2  28 7 42     
sqr=1.633  alp=9.134e-07  con= 0 / 2  28 7 42     
sqr=1.632  alp=7.308e-07  con= 0 / 2  28 7 42     
sqr=1.632  alp=5.846e-07  con= 0 / 2  28 7 42     
